Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
TSRTC - 8847,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:10,15:30,04h 20m,INR 320,24 Seats available,"4.1
12",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 8970,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:15,15:15,04h 00m,INR 320,31 Seats available,"4.0
13",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 34339,RAJDHANI (A.C. Semi Sleeper),11:20,15:30,04h 10m,INR 389,"26 Seats available
12 Window","2.6
26",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 8824,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:50,16:30,04h 40m,INR 320,27 Seats available,"3.9
7",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 8609,RAJDHANI (A.C. Semi Sleeper),12:10,16:10,04h 00m,INR 389,"34 Seats available
16 Window","3.3
50",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri KVR Travels,A/C Sleeper (2+1),23:20,05:00,05h 40m,INR 600,"30 Seats available
7 Single",3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
BSR Tours And Travels,NON A/C Seater (2+2),23:40,06:00,06h 20m,INR 400,"33 Seats available
14 Window","4.2
23",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05:00,05h 20m,INR 400,"23 Seats available
1 Single","4.6
9",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04:00,04h 20m,INR 380,27 Seats available,"4.5
4",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,INR 400,"19 Seats available
2 Single","3.8
5",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TSRTC - 8850,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:45,18:10,06h 25m,INR 320,24 Seats available,"3.8
11",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 8634,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:50,16:10,04h 20m,INR 320,31 Seats available,"4.7
5",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 64526,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:55,17:55,06h 00m,INR 320,31 Seats available,"3.5
20",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 6946,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:50,18:45,04h 55m,INR 320,31 Seats available,"4.0
11",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 8951,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,18:15,04h 15m,INR 320,32 Seats available,"4.3
9",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Siri Tours and Travels,A/C Seater / Sleeper (2+1),18:30,00:30,06h 00m,INR 610,"11 Seats available
1 Single","4.2
6",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),19:30,23:30,04h 00m,INR 800,"27 Seats available
13 Window","4.2
8",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Shyamoli Paribahan Pvt Ltd,A/C Seater/Sleeper (2+1),20:00,01:00,05h 00m,INR 789,10 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),21:10,03:30,06h 20m,INR 450,"26 Seats available
12 Window","3.3
5",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Sri KVR Travels,A/C Seater / Sleeper (2+1),21:15,03:30,06h 15m,INR 510,"41 Seats available
10 Single",3.8,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TSRTC - 8273,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:10,16:50,05h 40m,INR 442,20 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TSRTC - 1236,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:20,18:20,07h 00m,INR 442,31 Seats available,"3.6
24",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TSRTC - 9637,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:40,18:40,07h 00m,INR 442,30 Seats available,"4.6
15",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TSRTC - 1274,Rajdhani (AC Semi Sleeper 2+2),12:00,18:00,06h 00m,INR 524,"29 Seats available
14 Window","4.0
50",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TSRTC - 1288,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:20,19:20,07h 00m,INR 442,31 Seats available,"2.8
23",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TSRTC - 1276,Rajdhani (AC Semi Sleeper 2+2),13:00,19:00,06h 00m,INR 524,"31 Seats available
15 Window","3.9
26",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TSRTC - 8275,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:30,19:10,05h 40m,INR 442,31 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TSRTC - 9616,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:40,21:20,07h 40m,INR 442,24 Seats available,"3.0
33",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TSRTC - 1278,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:40,20:20,06h 40m,INR 442,31 Seats available,"4.0
19",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TSRTC - 1282,Rajdhani (AC Semi Sleeper 2+2),14:00,20:00,06h 00m,INR 524,"12 Seats available
4 Window","3.9
38",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
Naveen Tours and Travels,A/C Seater / Sleeper (2+1),22:35,06:00,07h 25m,INR 690,20 Seats available,"1.0
9",https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TSRTC - 7320,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:10,14:10,03h 00m,INR 283,31 Seats available,"3.0
10",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TSRTC - 7379,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:40,14:40,03h 00m,INR 283,31 Seats available,"4.7
12",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TSRTC - 7171,RAJDHANI (A.C. Semi Sleeper),12:00,15:00,03h 00m,INR 343,"28 Seats available
14 Window","4.0
21",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TSRTC - 7076,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:10,15:10,03h 00m,INR 283,31 Seats available,"3.4
19",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TSRTC - 7330,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:15,15:15,03h 00m,INR 283,29 Seats available,"4.0
9",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TSRTC - 7122,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:20,15:20,03h 00m,INR 283,31 Seats available,"2.7
6",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TSRTC - 7095,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:40,15:40,03h 00m,INR 283,31 Seats available,"4.8
20",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TSRTC - 7322,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:20,16:20,03h 00m,INR 283,31 Seats available,"4.5
7",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TSRTC - 7124,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:40,16:40,03h 00m,INR 283,31 Seats available,"4.1
15",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TSRTC - 7471,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00,16:55,02h 55m,INR 283,2 Seats available,"4.2
6",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TSRTC - 7027,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:10,17:10,03h 00m,INR 283,31 Seats available,"4.2
24",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
