Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
KSRTC (Kerala) - 581,Super Express Non AC Seater Air Bus (2+2),10:03,18:48,08h 45m,606.0,13 Seats available,3.9,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:01,19:55,07h 54m,945.0,37 Seats available,3.6,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 1210,SWIFT-HYBRID NON AC SEATER CUM SLEEPER,12:55,21:15,08h 20m,740.0,"19 Seats available
2 Single",3.8,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,14:15,22:50,08h 35m,945.0,37 Seats available,4.2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,00:01,09h 01m,801.0,"24 Seats available
9 Window",4.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 370,AC MULTI AXLE,15:25,22:20,06h 55m,1099.0,"39 Seats available
18 Window",2.2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:02,00:50,08h 48m,740.0,"9 Seats available
3 Window",2.8,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),16:16,01:20,09h 04m,832.0,"29 Seats available
11 Window",3.3,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,01:25,08h 40m,832.0,31 Seats available,2.0,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,04:24,09h 20m,832.0,"24 Seats available
11 Window",4.2,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,04:25,08h 25m,473.0,1 Seat available,3.6,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
