Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
RSRTC - 190571,Express Non AC Seater 2+3,13:25,18:00,04h 35m,INR 229,"42 Seats available
15 Window",4.2,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 188046,Express Non AC Seater 2+3,14:15,19:00,04h 45m,INR 229,"40 Seats available
14 Window",4.2,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 167049,Express Non AC Seater 2+3,14:30,19:15,04h 45m,INR 229,"42 Seats available
15 Window",4.2,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
,,,,,,,,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
,,,,,,,,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
,,,,,,,,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
,,,,,,,,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
,,,,,,,,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
,,,,,,,,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
,,,,,,,,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer
RSRTC - 193240,Semi Deluxe Non AC Seater 2+2,13:15,17:30,04h 15m,INR 230,"35 Seats available
17 Window",3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 191169,NON AC Seater / Sleeper 2+1,13:22,17:45,04h 23m,INR 282,"37 Seats available
13 Single",3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 168673,Express Non AC Seater 2+3,13:25,17:30,04h 05m,INR 211,"42 Seats available
15 Window",3.9,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
,,,,,,,,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
,,,,,,,,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
,,,,,,,,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
,,,,,,,,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
,,,,,,,,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
,,,,,,,,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
,,,,,,,,https://www.redbus.in/bus-tickets/beawer-to-jaipur,Beawar (Rajasthan) to Jaipur (Rajasthan)
RSRTC - 183203,Express Non AC Seater 2+3,13:30,19:30,06h 00m,INR 299,"42 Seats available
15 Window","2.9
4",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 183141,Express Non AC Seater 2+3,14:35,21:00,06h 25m,INR 294,"37 Seats available
12 Window","1.2
4",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 192831,Express Non AC Seater 2+3,15:00,21:00,06h 00m,INR 285,"42 Seats available
15 Window",4.4,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 157454,Super Luxury Volvo AC Seater Pushback 2+2,16:00,21:00,05h 00m,INR 602,"15 Seats available
6 Window","4.4
145",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 193271,Express Non AC Seater 2+3,19:30,02:00,06h 30m,INR 294,"42 Seats available
15 Window",4.4,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 189622,Express Non AC Seater 2+3,22:00,05:00,07h 00m,INR 294,"42 Seats available
15 Window","2.4
6",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
M R Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),17:10,21:55,04h 45m,INR 475,47 Seats available,"4.5
389",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),17:00,21:30,04h 30m,INR 550,"14 Seats available
3 Single","4.4
277",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Shree Devnarayan Travels,Bharat Benz A/C Seater (2+1),12:50,17:20,04h 30m,INR 550,"22 Seats available
6 Single","4.1
190",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Jain travels regd,A/C Seater / Sleeper (2+1),21:30,04:30,07h 00m,INR 460,"37 Seats available
23 Window","3.9
238",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
Jakhar Travels,A/C Seater / Sleeper (2+1),22:00,04:30,06h 30m,INR 457,"28 Seats available
4 Single","3.8
261",https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,Udaipur to Jodhpur
RSRTC - 192563,Semi Deluxe Non AC Seater 2+2,13:20,21:00,07h 40m,INR 396,"35 Seats available
17 Window",3.7,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 185137,Super Luxury Volvo AC Seater Pushback 2+2,13:30,19:45,06h 15m,INR 740,"30 Seats available
14 Window","2.9
46",https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 143156,Super Luxury Volvo AC Seater Pushback 2+2,14:30,20:45,06h 15m,INR 740,"28 Seats available
12 Window","2.8
44",https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 168081,Express Non AC Seater 2+3,14:30,22:15,07h 45m,INR 363,"42 Seats available
15 Window",3.7,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
RSRTC - 163509,Express Non AC Seater 2+3,15:05,22:30,07h 25m,INR 363,"42 Seats available
15 Window",3.7,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,Jaipur (Rajasthan) to Jodhpur
